game_id,season,week,season_type,home_team,away_team,kickoff_dt_utc,kickoff_dt_local,network,spread_close,total_close,officials_crew,stadium,roof_state
2025_01_DAL_PHI,2025.0,1.0,REG,PHI,DAL,2025-09-04T00:00:00,2025-09-04 00:00:00,,,,,Lincoln Financial Field,
2025_01_KC_LAC,2025.0,1.0,REG,LAC,KC,2025-09-05T00:00:00,2025-09-05 00:00:00,,,,,SoFi Stadium,
2025_01_TB_ATL,2025.0,1.0,REG,ATL,TB,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,Mercedes-Benz Stadium,
2025_01_CIN_CLE,2025.0,1.0,REG,CLE,CIN,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,FirstEnergy Stadium,
2025_01_MIA_IND,2025.0,1.0,REG,IND,MIA,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,Lucas Oil Stadium,
2025_01_CAR_JAX,2025.0,1.0,REG,JAX,CAR,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,TIAA Bank Stadium,
2025_01_LV_NE,2025.0,1.0,REG,NE,LV,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,Gillette Stadium,
2025_01_ARI_NO,2025.0,1.0,REG,NO,ARI,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,Mercedes-Benz Superdome,
2025_01_PIT_NYJ,2025.0,1.0,REG,NYJ,PIT,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,MetLife Stadium,
2025_01_NYG_WAS,2025.0,1.0,REG,WAS,NYG,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,FedExField,
2025_01_TEN_DEN,2025.0,1.0,REG,DEN,TEN,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,Empower Field at Mile High,
2025_01_SF_SEA,2025.0,1.0,REG,SEA,SF,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,Lumen Field,
2025_01_DET_GB,2025.0,1.0,REG,GB,DET,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,Lambeau Field,
2025_01_HOU_LA,2025.0,1.0,REG,LA,HOU,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,SoFi Stadium,
2025_01_BAL_BUF,2025.0,1.0,REG,BUF,BAL,2025-09-07T00:00:00,2025-09-07 00:00:00,,,,,New Era Field,
2025_01_MIN_CHI,2025.0,1.0,REG,CHI,MIN,2025-09-08T00:00:00,2025-09-08 00:00:00,,,,,Soldier Field,
