stat,rolling_averages_3game,rolling_averages_5game,season_to_date,opponent_adjusted,situational_splits,red_zone_efficiency,goal_line_efficiency,air_yard_distribution,yac_efficiency,pressure_splits,coverage_splits,rest_days_adjustment,travel_distance_adjustment,weather_adjustment,home_away_splits,division_opponent_adjustment,pace_adjustment
passing_attempts,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
passing_completions,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
passing_yards,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
passing_touchdowns,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
interceptions,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1
rushing_attempts,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
rushing_yards,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
rushing_touchdowns,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
fumbles,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
targets,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
receptions,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
receiving_yards,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
receiving_touchdowns,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
drops,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
offensive_snaps,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
snap_percentage,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
routes_run,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
air_yards,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1
yac,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
red_zone_targets,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1
goal_line_carries,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1
third_down_conversions,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1
field_goals_attempted,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
field_goals_made,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
extra_points_attempted,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
extra_points_made,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
